customer_id,gender,age,age_group,occupation,married,customer_segment,credit_sco,balance,monthly_ir,tenure_ye,nums_card,nums_service,active_member,digital_behavior,engagement_score,engagement_category,is_highly_engaged,loyalty_level,customer_value,risk_score,risk_segment,current_churn_risk,exit,churn_status,customer_region
1,Male,55,46-55,Small Business Owner,2,Priority,725,177306004,121000000,0,4,8,1,mobile,90,High,1,Bronze,High Value,0.0359,Low,Medium Risk,0,Active,South East
2,Male,45,36-45,Student / Homemaker,1,Mass,689,1927416,5000000,3,3,2,1,mobile,63,High,1,Gold,Medium Value,0.2664,Low,Low Risk,0,Active,West Midlands
3,Female,44,36-45,Small Business Owner,0,Priority,702,304931745,109000000,4,2,8,0,offline,36,High,1,Silver,High Value,0.1343,Low,High Risk,0,Active,South East
4,Male,44,36-45,Small Business Owner,0,Priority,766,50615501,79000000,3,4,3,0,offline,23,Medium,0,Bronze,Medium Value,0.2185,Low,High Risk,0,Active,South East
5,Female,77,65+,Teacher / Lecturer,1,Emerging,677,40532432,25000000,2,4,3,0,offline,23,Medium,0,Bronze,Medium Value,0.2942,Low,High Risk,0,Active,South East
6,Female,60,56-65,Engineer / IT Professional,1,Affluent,708,36274615,57000000,3,1,6,0,offline,26,Medium,0,Bronze,Medium Value,0.185,Low,High Risk,0,Active,East of England
7,Male,41,36-45,Student / Homemaker,1,Mass,677,24152499,14000000,3,2,4,0,offline,21,Medium,0,Bronze,Medium Value,0.3099,Low,Already Churned,1,Churned,South East
8,Female,56,56-65,Retired,1,Emerging,690,20137060,19000000,4,2,4,1,mobile,64,High,1,Gold,Medium Value,0.1841,Low,Low Risk,0,Active,East of England
9,Male,51,46-55,Student / Homemaker,1,Mass,728,12678179,9000000,2,1,5,0,offline,22,Medium,0,Bronze,Medium Value,0.2922,Low,Already Churned,1,Churned,Other UK Region
10,Female,26,26-35,Small Business Owner,1,Priority,711,302651881,96000000,3,3,8,0,offline,39,High,1,Silver,High Value,0.1344,Low,High Risk,0,Active,South East
11,Female,34,26-35,Office Worker / Civil Servant,1,Emerging,724,57319508,21000000,3,2,3,0,offline,17,Low,0,Bronze,Low Value,0.275,Low,High Risk,0,Active,South East
12,Female,52,46-55,Business / Sales,1,Emerging,679,39223788,31000000,2,4,4,0,offline,27,Medium,0,Bronze,Medium Value,0.2681,Low,High Risk,0,Active,London
13,Male,75,65+,Retired,1,Emerging,611,18961653,20000000,3,1,4,0,offline,18,Low,0,Bronze,Low Value,0.3668,Low,High Risk,0,Active,South East
14,Male,44,36-45,Retired,2,Mass,584,22350304,12000000,1,3,1,0,offline,13,Low,0,Bronze,Low Value,0.4454,Medium,High Risk,0,Active,East Midlands
15,Male,40,36-45,Small Business Owner,1,Priority,788,303023434,170000000,2,4,3,0,offline,23,Medium,0,Bronze,Medium Value,0.1969,Low,High Risk,0,Active,South East
16,Male,49,46-55,Engineer / IT Professional,0,Affluent,747,78554326,57000000,2,3,6,0,offline,31,Medium,0,Bronze,Medium Value,0.1757,Low,High Risk,0,Active,London
17,Male,39,36-45,Small Business Owner,1,Priority,734,20947267,64000000,1,3,2,1,mobile,61,High,1,Silver,Medium Value,0.1366,Low,Low Risk,0,Active,South East
18,Female,43,36-45,Office Worker / Civil Servant,1,Emerging,721,20099823,19000000,0,2,1,0,offline,10,Low,0,Bronze,Low Value,0.3166,Low,Already Churned,1,Churned,South East
19,Male,47,46-55,Student / Homemaker,1,Mass,644,4791133,6000000,0,2,4,1,mobile,65,High,1,Bronze,Medium Value,0.2734,Low,Medium Risk,0,Active,South West
20,Female,34,26-35,Small Business Owner,0,Priority,695,130410508,86000000,1,4,8,0,offline,42,High,1,Silver,High Value,0.1496,Low,High Risk,0,Active,South East
21,Male,61,56-65,Engineer / IT Professional,1,Affluent,728,71897394,43000000,1,2,2,0,offline,14,Low,0,Bronze,Low Value,0.2408,Low,High Risk,0,Active,East Midlands
22,Male,32,26-35,Teacher / Lecturer,1,Emerging,684,68039746,29000000,3,2,2,0,offline,14,Low,0,Bronze,Low Value,0.2854,Low,High Risk,0,Active,London
23,Female,31,26-35,Retired,0,Mass,654,2168166,7000000,1,3,4,0,offline,24,Medium,0,Bronze,Medium Value,0.376,Low,High Risk,0,Active,South East
24,Male,50,46-55,Business / Sales,3,Emerging,638,24422671,28000000,0,3,4,0,offline,24,Medium,0,Bronze,Medium Value,0.3208,Low,Already Churned,1,Churned,South East
25,Male,60,56-65,Manager / Executive,0,Priority,788,145014383,107000000,2,5,8,0,offline,45,High,1,Silver,High Value,0.1433,Low,High Risk,0,Active,West Midlands
26,Female,50,46-55,Office Worker / Civil Servant,1,Mass,695,6824796,12000000,0,1,5,1,mobile,66,High,1,Bronze,Medium Value,0.1937,Low,Medium Risk,0,Active,East Midlands
27,Male,45,36-45,Retired,1,Emerging,743,43150173,20000000,2,2,6,0,offline,28,Medium,0,Bronze,Medium Value,0.2429,Low,High Risk,0,Active,South East
28,Male,43,36-45,Engineer / IT Professional,1,Affluent,641,75737832,49000000,2,5,6,0,offline,38,High,1,Silver,High Value,0.2371,Low,High Risk,0,Active,Other UK Region
29,Female,41,36-45,Small Business Owner,0,Priority,732,217862308,115000000,2,4,6,0,offline,34,Medium,0,Bronze,Medium Value,0.1634,Low,High Risk,0,Active,South East
30,Male,66,65+,Retired,1,Mass,685,11720995,12000000,0,4,5,1,mobile,84,High,1,Bronze,Medium Value,0.1971,Low,Medium Risk,0,Active,South East
31,Male,52,46-55,Office Worker / Civil Servant,1,Emerging,649,25569481,16000000,0,3,3,1,mobile,71,High,1,Bronze,Medium Value,0.2407,Low,Medium Risk,0,Active,South East
32,Female,42,36-45,Teacher / Lecturer,1,Emerging,714,20357663,29000000,1,4,4,0,offline,27,Medium,0,Bronze,Medium Value,0.259,Low,Already Churned,1,Churned,East of England
33,Female,38,36-45,Small Business Owner,1,Priority,739,55318135,134000000,1,2,1,0,offline,10,Low,0,Bronze,Low Value,0.2424,Low,High Risk,0,Active,South West
34,Male,57,56-65,Student / Homemaker,0,Mass,704,36552460,10000000,2,2,1,0,offline,10,Low,0,Bronze,Low Value,0.3274,Low,Already Churned,1,Churned,West Midlands
35,Male,65,56-65,Small Business Owner,1,Priority,788,220872419,166000000,4,4,6,1,mobile,77,High,1,Gold,High Value,0.0582,Low,Low Risk,0,Active,South East
36,Male,63,56-65,Retired,1,Mass,690,26190765,7000000,4,2,2,0,offline,14,Low,0,Bronze,Low Value,0.3349,Low,Already Churned,1,Churned,East of England
37,Male,36,36-45,Retired,1,Emerging,689,8499031,17000000,0,2,1,1,mobile,59,High,1,Bronze,Medium Value,0.237,Low,Medium Risk,0,Active,West Midlands
38,Male,43,36-45,Small Business Owner,1,Priority,663,186760761,80000000,1,4,7,0,offline,38,High,1,Silver,High Value,0.1897,Low,High Risk,0,Active,North West
